DataKey,Data,Ano,Mes,NomeMes,Dia,DiaSemana
20250123,2025-01-23,2025,1,Jan,23,Thursday
20250111,2025-01-11,2025,1,Jan,11,Saturday
20250125,2025-01-25,2025,1,Jan,25,Saturday
20250119,2025-01-19,2025,1,Jan,19,Sunday
20250130,2025-01-30,2025,1,Jan,30,Thursday
20250104,2025-01-04,2025,1,Jan,4,Saturday
20250116,2025-01-16,2025,1,Jan,16,Thursday
20250102,2025-01-02,2025,1,Jan,2,Thursday
20250114,2025-01-14,2025,1,Jan,14,Tuesday
20250127,2025-01-27,2025,1,Jan,27,Monday
20250129,2025-01-29,2025,1,Jan,29,Wednesday
20250109,2025-01-09,2025,1,Jan,9,Thursday
20250122,2025-01-22,2025,1,Jan,22,Wednesday
20250108,2025-01-08,2025,1,Jan,8,Wednesday
20250124,2025-01-24,2025,1,Jan,24,Friday
20250113,2025-01-13,2025,1,Jan,13,Monday
20250117,2025-01-17,2025,1,Jan,17,Friday
20250103,2025-01-03,2025,1,Jan,3,Friday
20250107,2025-01-07,2025,1,Jan,7,Tuesday
20250128,2025-01-28,2025,1,Jan,28,Tuesday
20250120,2025-01-20,2025,1,Jan,20,Monday
20250106,2025-01-06,2025,1,Jan,6,Monday
20250105,2025-01-05,2025,1,Jan,5,Sunday
20250110,2025-01-10,2025,1,Jan,10,Friday
20250115,2025-01-15,2025,1,Jan,15,Wednesday
20250112,2025-01-12,2025,1,Jan,12,Sunday
20250118,2025-01-18,2025,1,Jan,18,Saturday
20250126,2025-01-26,2025,1,Jan,26,Sunday
20250121,2025-01-21,2025,1,Jan,21,Tuesday
20250101,2025-01-01,2025,1,Jan,1,Wednesday
20250131,2025-01-31,2025,1,Jan,31,Friday
